Model,ModelType,Dataset,Features,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,Balanced Accuracy,MCC,TN,FP,FN,TP,TuneROC-AUC,BestParams,Top20Importances
LightGBM - Baseline,LightGBM,Baseline,432,0.9421461713008433,0.3286297809134794,0.6532972440944882,0.43728897307090503,0.9108926427622769,0.5498334786511995,0.8028683267226325,0.437385656887069,108620,5424,1409,2655,0.9238956392559676,"{""n_estimators"": 700, ""learning_rate"": 0.03702917556373974, ""num_leaves"": 95, ""max_depth"": 10, ""min_child_samples"": 59, ""subsample"": 0.8160380080454375, ""colsample_bytree"": 0.6733068413073444}","[{""rank"": 1, ""feature"": ""card1"", ""importance"": 3833.0, ""importance_pct"": 5.887593505675621}, {""rank"": 2, ""feature"": ""TransactionDT"", ""importance"": 3436.0, ""importance_pct"": 5.277790578007158}, {""rank"": 3, ""feature"": ""TransactionAmt"", ""importance"": 3068.0, ""importance_pct"": 4.712532448581479}, {""rank"": 4, ""feature"": ""card2"", ""importance"": 3052.0, ""importance_pct"": 4.687956008171666}, {""rank"": 5, ""feature"": ""addr1"", ""importance"": 2668.0, ""importance_pct"": 4.098121438336174}, {""rank"": 6, ""feature"": ""C13"", ""importance"": 1763.0, ""importance_pct"": 2.7080165276561754}, {""rank"": 7, ""feature"": ""D15"", ""importance"": 1524.0, ""importance_pct"": 2.3409059490346067}, {""rank"": 8, ""feature"": ""P_emaildomain"", ""importance"": 1391.0, ""importance_pct"": 2.136614288128043}, {""rank"": 9, ""feature"": ""D10"", ""importance"": 1231.0, ""importance_pct"": 1.890849884029922}, {""rank"": 10, ""feature"": ""D1"", ""importance"": 1192.0, ""importance_pct"": 1.8309448105310049}, {""rank"": 11, ""feature"": ""dist1"", ""importance"": 1186.0, ""importance_pct"": 1.8217286453773252}, {""rank"": 12, ""feature"": ""D2"", ""importance"": 1169.0, ""importance_pct"": 1.7956161774418995}, {""rank"": 13, ""feature"": ""card5"", ""importance"": 1139.0, ""importance_pct"": 1.7495353516735022}, {""rank"": 14, ""feature"": ""D4"", ""importance"": 1078.0, ""importance_pct"": 1.655837672611093}, {""rank"": 15, ""feature"": ""C1"", ""importance"": 939.0, ""importance_pct"": 1.4423298465508503}, {""rank"": 16, ""feature"": ""C2"", ""importance"": 844.0, ""importance_pct"": 1.2964072316175907}, {""rank"": 17, ""feature"": ""C14"", ""importance"": 803.0, ""importance_pct"": 1.233430103067447}, {""rank"": 18, ""feature"": ""id_02"", ""importance"": 753.0, ""importance_pct"": 1.156628726786784}, {""rank"": 19, ""feature"": ""id_20"", ""importance"": 712.0, ""importance_pct"": 1.0936515982366404}, {""rank"": 20, ""feature"": ""D11"", ""importance"": 707.0, ""importance_pct"": 1.0859714606085742}]"
LightGBM - Feature Engineering,LightGBM,Feature Engineering,439,0.9455413689165848,0.3466718466718467,0.6587106299212598,0.45426777532665874,0.9163341854587412,0.5593236871747806,0.8072366590032801,0.45310014692576694,108999,5045,1387,2677,0.9251008040701049,"{""n_estimators"": 700, ""learning_rate"": 0.03702917556373974, ""num_leaves"": 95, ""max_depth"": 10, ""min_child_samples"": 61, ""subsample"": 0.7330736119556676, ""colsample_bytree"": 0.6676709278132404}","[{""rank"": 1, ""feature"": ""card1"", ""importance"": 2968.0, ""importance_pct"": 4.541976555565758}, {""rank"": 2, ""feature"": ""TransactionDT"", ""importance"": 2827.0, ""importance_pct"": 4.326202062865363}, {""rank"": 3, ""feature"": ""TransactionAmt"", ""importance"": 2792.0, ""importance_pct"": 4.272641018578031}, {""rank"": 4, ""feature"": ""card2"", ""importance"": 2606.0, ""importance_pct"": 3.988002326079638}, {""rank"": 5, ""feature"": ""uid"", ""importance"": 2466.0, ""importance_pct"": 3.77375814893031}, {""rank"": 6, ""feature"": ""addr1"", ""importance"": 2408.0, ""importance_pct"": 3.6849998469684446}, {""rank"": 7, ""feature"": ""uid2"", ""importance"": 1752.0, ""importance_pct"": 2.6811128454687356}, {""rank"": 8, ""feature"": ""C13"", ""importance"": 1472.0, ""importance_pct"": 2.2526244911700792}, {""rank"": 9, ""feature"": ""D15"", ""importance"": 1359.0, ""importance_pct"": 2.07969883389955}, {""rank"": 10, ""feature"": ""DT_day"", ""importance"": 1353.0, ""importance_pct"": 2.07051694059315}, {""rank"": 11, ""feature"": ""P_emaildomain"", ""importance"": 1292.0, ""importance_pct"": 1.9771676919780858}, {""rank"": 12, ""feature"": ""D10"", ""importance"": 1097.0, ""importance_pct"": 1.678756159520093}, {""rank"": 13, ""feature"": ""D1"", ""importance"": 1078.0, ""importance_pct"": 1.649680164049827}, {""rank"": 14, ""feature"": ""D2"", ""importance"": 1069.0, ""importance_pct"": 1.6359073240902275}, {""rank"": 15, ""feature"": ""dist1"", ""importance"": 1061.0, ""importance_pct"": 1.6236647996816944}, {""rank"": 16, ""feature"": ""DT_hour"", ""importance"": 1053.0, ""importance_pct"": 1.6114222752731615}, {""rank"": 17, ""feature"": ""card5"", ""importance"": 1048.0, ""importance_pct"": 1.603770697517828}, {""rank"": 18, ""feature"": ""D4"", ""importance"": 938.0, ""importance_pct"": 1.435435986900499}, {""rank"": 19, ""feature"": ""C1"", ""importance"": 910.0, ""importance_pct"": 1.3925871514706332}, {""rank"": 20, ""feature"": ""id_02"", ""importance"": 731.0, ""importance_pct"": 1.1186606678297064}]"
LightGBM - Reduced Baseline,LightGBM,Reduced Baseline,342,0.9641514546008738,0.48221757322175735,0.5671751968503937,0.5212573496155586,0.9117817029350738,0.5549680363518039,0.7727365234015218,0.5045495296922468,111569,2475,1759,2305,0.9234895876714913,"{""n_estimators"": 800, ""learning_rate"": 0.058392510717711, ""num_leaves"": 96, ""max_depth"": 12, ""min_child_samples"": 54, ""subsample"": 0.8072636662657275, ""colsample_bytree"": 0.7235819178002387}","[{""rank"": 1, ""feature"": ""card1"", ""importance"": 5426.0, ""importance_pct"": 7.145396842119125}, {""rank"": 2, ""feature"": ""TransactionDT"", ""importance"": 5162.0, ""importance_pct"": 6.7977402320344495}, {""rank"": 3, ""feature"": ""TransactionAmt"", ""importance"": 4376.0, ""importance_pct"": 5.762671688373257}, {""rank"": 4, ""feature"": ""card2"", ""importance"": 4080.0, ""importance_pct"": 5.372874883126802}, {""rank"": 5, ""feature"": ""addr1"", ""importance"": 3959.0, ""importance_pct"": 5.213532270171326}, {""rank"": 6, ""feature"": ""C13"", ""importance"": 1834.0, ""importance_pct"": 2.41515993520945}, {""rank"": 7, ""feature"": ""P_emaildomain"", ""importance"": 1818.0, ""importance_pct"": 2.3940898376285604}, {""rank"": 8, ""feature"": ""D15"", ""importance"": 1816.0, ""importance_pct"": 2.3914560754309493}, {""rank"": 9, ""feature"": ""dist1"", ""importance"": 1722.0, ""importance_pct"": 2.267669252143224}, {""rank"": 10, ""feature"": ""card5"", ""importance"": 1569.0, ""importance_pct"": 2.066186444025969}, {""rank"": 11, ""feature"": ""D10"", ""importance"": 1405.0, ""importance_pct"": 1.8502179438218525}, {""rank"": 12, ""feature"": ""C1"", ""importance"": 1325.0, ""importance_pct"": 1.744867455917405}, {""rank"": 13, ""feature"": ""D2"", ""importance"": 1257.0, ""importance_pct"": 1.655319541198625}, {""rank"": 14, ""feature"": ""D1"", ""importance"": 1219.0, ""importance_pct"": 1.6052780594440128}, {""rank"": 15, ""feature"": ""D4"", ""importance"": 1218.0, ""importance_pct"": 1.6039611783452072}, {""rank"": 16, ""feature"": ""id_02"", ""importance"": 1060.0, ""importance_pct"": 1.3958939647339241}, {""rank"": 17, ""feature"": ""id_20"", ""importance"": 936.0, ""importance_pct"": 1.2326007084820312}, {""rank"": 18, ""feature"": ""id_19"", ""importance"": 879.0, ""importance_pct"": 1.1575384858501125}, {""rank"": 19, ""feature"": ""DeviceInfo"", ""importance"": 858.0, ""importance_pct"": 1.1298839827751952}, {""rank"": 20, ""feature"": ""D11"", ""importance"": 848.0, ""importance_pct"": 1.1167151717871393}]"
LightGBM - Reduced Feature Engineering,LightGBM,Reduced Feature Engineering,348,0.9282944423747757,0.27870993670250177,0.6825787401574803,0.3958050938146536,0.9129178380212141,0.538143153658984,0.8098146761009772,0.4065788188344492,106865,7179,1290,2774,0.925851196105759,"{""n_estimators"": 500, ""learning_rate"": 0.04003965271318858, ""num_leaves"": 82, ""max_depth"": 10, ""min_child_samples"": 60, ""subsample"": 0.7545561730804785, ""colsample_bytree"": 0.7607586350559844}","[{""rank"": 1, ""feature"": ""TransactionDT"", ""importance"": 1850.0, ""importance_pct"": 4.576376004947433}, {""rank"": 2, ""feature"": ""TransactionAmt"", ""importance"": 1844.0, ""importance_pct"": 4.561533704390848}, {""rank"": 3, ""feature"": ""card1"", ""importance"": 1827.0, ""importance_pct"": 4.51948051948052}, {""rank"": 4, ""feature"": ""card2"", ""importance"": 1766.0, ""importance_pct"": 4.368583797155226}, {""rank"": 5, ""feature"": ""uid"", ""importance"": 1629.0, ""importance_pct"": 4.029684601113172}, {""rank"": 6, ""feature"": ""addr1"", ""importance"": 1532.0, ""importance_pct"": 3.789734075448361}, {""rank"": 7, ""feature"": ""uid2"", ""importance"": 1111.0, ""importance_pct"": 2.748299319727891}, {""rank"": 8, ""feature"": ""C13"", ""importance"": 1069.0, ""importance_pct"": 2.644403215831787}, {""rank"": 9, ""feature"": ""D15"", ""importance"": 972.0, ""importance_pct"": 2.404452690166976}, {""rank"": 10, ""feature"": ""C1"", ""importance"": 889.0, ""importance_pct"": 2.1991341991341993}, {""rank"": 11, ""feature"": ""P_emaildomain"", ""importance"": 865.0, ""importance_pct"": 2.139764996907854}, {""rank"": 12, ""feature"": ""D2"", ""importance"": 803.0, ""importance_pct"": 1.9863945578231295}, {""rank"": 13, ""feature"": ""D10"", ""importance"": 797.0, ""importance_pct"": 1.9715522572665427}, {""rank"": 14, ""feature"": ""D1"", ""importance"": 771.0, ""importance_pct"": 1.907235621521336}, {""rank"": 15, ""feature"": ""dist1"", ""importance"": 738.0, ""importance_pct"": 1.8256029684601112}, {""rank"": 16, ""feature"": ""card5"", ""importance"": 701.0, ""importance_pct"": 1.7340754483611627}, {""rank"": 17, ""feature"": ""D4"", ""importance"": 637.0, ""importance_pct"": 1.575757575757576}, {""rank"": 18, ""feature"": ""DT_hour"", ""importance"": 605.0, ""importance_pct"": 1.4965986394557822}, {""rank"": 19, ""feature"": ""C14"", ""importance"": 542.0, ""importance_pct"": 1.3407544836116265}, {""rank"": 20, ""feature"": ""D11"", ""importance"": 451.0, ""importance_pct"": 1.1156462585034013}]"
XGBoost - Baseline,XGBoost,Baseline,432,0.964684864700105,0.4887249736564805,0.5706200787401575,0.5265069814961971,0.9114342892365483,0.5623814828228725,0.7746737937105088,0.5099252509801907,111618,2426,1745,2319,0.9229594149569254,"{""n_estimators"": 500, ""learning_rate"": 0.05156911709595948, ""max_depth"": 10, ""min_child_weight"": 9.905500691040231, ""subsample"": 0.8708817658975764, ""colsample_bytree"": 0.7930734353629822, ""gamma"": 1.461192327509932}","[{""rank"": 1, ""feature"": ""V258"", ""importance"": 0.136172816157341, ""importance_pct"": 13.617282160271008}, {""rank"": 2, ""feature"": ""V70"", ""importance"": 0.07634136080741882, ""importance_pct"": 7.63413638602079}, {""rank"": 3, ""feature"": ""V257"", ""importance"": 0.05850052088499069, ""importance_pct"": 5.85005232243484}, {""rank"": 4, ""feature"": ""V218"", ""importance"": 0.05594128370285034, ""importance_pct"": 5.594128593986757}, {""rank"": 5, ""feature"": ""V91"", ""importance"": 0.033972714096307755, ""importance_pct"": 3.397271545483123}, {""rank"": 6, ""feature"": ""V294"", ""importance"": 0.027643203735351562, ""importance_pct"": 2.7643204840766367}, {""rank"": 7, ""feature"": ""V322"", ""importance"": 0.01307598128914833, ""importance_pct"": 1.3075981812039361}, {""rank"": 8, ""feature"": ""C8"", ""importance"": 0.011400597169995308, ""importance_pct"": 1.1400597625889966}, {""rank"": 9, ""feature"": ""V201"", ""importance"": 0.009953854605555534, ""importance_pct"": 0.9953855003596888}, {""rank"": 10, ""feature"": ""V264"", ""importance"": 0.009121490642428398, ""importance_pct"": 0.9121491007184629}, {""rank"": 11, ""feature"": ""V187"", ""importance"": 0.008716701529920101, ""importance_pct"": 0.8716701878489356}, {""rank"": 12, ""feature"": ""C14"", ""importance"": 0.007930789142847061, ""importance_pct"": 0.7930789459988729}, {""rank"": 13, ""feature"": ""V283"", ""importance"": 0.007513753604143858, ""importance_pct"": 0.7513753904608831}, {""rank"": 14, ""feature"": ""V317"", ""importance"": 0.007474803831428289, ""importance_pct"": 0.7474804130335714}, {""rank"": 15, ""feature"": ""V90"", ""importance"": 0.006399784702807665, ""importance_pct"": 0.6399784958726509}, {""rank"": 16, ""feature"": ""V138"", ""importance"": 0.005802507977932692, ""importance_pct"": 0.5802508209967236}, {""rank"": 17, ""feature"": ""C4"", ""importance"": 0.0057295626029372215, ""importance_pct"": 0.5729562832054779}, {""rank"": 18, ""feature"": ""V318"", ""importance"": 0.005388716235756874, ""importance_pct"": 0.5388716451244441}, {""rank"": 19, ""feature"": ""V69"", ""importance"": 0.0051758731715381145, ""importance_pct"": 0.5175873378514371}, {""rank"": 20, ""feature"": ""addr2"", ""importance"": 0.005036185495555401, ""importance_pct"": 0.5036185696945734}]"
XGBoost - Feature Engineering,XGBoost,Feature Engineering,439,0.9748535238933858,0.6805280528052805,0.5073818897637795,0.5813363405694953,0.919640677952176,0.5964534125047576,0.7494469688726302,0.5751800709786459,113076,968,2002,2062,0.924738920658331,"{""n_estimators"": 700, ""learning_rate"": 0.07627467579795179, ""max_depth"": 10, ""min_child_weight"": 8.34432054049989, ""subsample"": 0.8332908615865308, ""colsample_bytree"": 0.8858612346238909, ""gamma"": 1.9965833820037882}","[{""rank"": 1, ""feature"": ""V258"", ""importance"": 0.21071606874465942, ""importance_pct"": 21.07160650267436}, {""rank"": 2, ""feature"": ""V257"", ""importance"": 0.06607411056756973, ""importance_pct"": 6.607410940174511}, {""rank"": 3, ""feature"": ""V70"", ""importance"": 0.06012945622205734, ""importance_pct"": 6.012945516112138}, {""rank"": 4, ""feature"": ""V91"", ""importance"": 0.036341115832328796, ""importance_pct"": 3.6341115191118996}, {""rank"": 5, ""feature"": ""V294"", ""importance"": 0.03628864139318466, ""importance_pct"": 3.6288640752900725}, {""rank"": 6, ""feature"": ""V201"", ""importance"": 0.010582735762000084, ""importance_pct"": 1.058273557527621}, {""rank"": 7, ""feature"": ""V187"", ""importance"": 0.008199895732104778, ""importance_pct"": 0.8199895587424203}, {""rank"": 8, ""feature"": ""C14"", ""importance"": 0.00788130797445774, ""importance_pct"": 0.7881307835398391}, {""rank"": 9, ""feature"": ""C8"", ""importance"": 0.00776699697598815, ""importance_pct"": 0.7766996838945726}, {""rank"": 10, ""feature"": ""V264"", ""importance"": 0.007727251388132572, ""importance_pct"": 0.7727251251791427}, {""rank"": 11, ""feature"": ""V336"", ""importance"": 0.0074004861526191235, ""importance_pct"": 0.7400486022043489}, {""rank"": 12, ""feature"": ""V283"", ""importance"": 0.006574610713869333, ""importance_pct"": 0.6574610597865608}, {""rank"": 13, ""feature"": ""C4"", ""importance"": 0.006530051119625568, ""importance_pct"": 0.6530051004408061}, {""rank"": 14, ""feature"": ""V162"", ""importance"": 0.006390721071511507, ""importance_pct"": 0.6390720958752366}, {""rank"": 15, ""feature"": ""V322"", ""importance"": 0.006206622812896967, ""importance_pct"": 0.6206622703386092}, {""rank"": 16, ""feature"": ""V138"", ""importance"": 0.00587522704154253, ""importance_pct"": 0.5875226937878867}, {""rank"": 17, ""feature"": ""addr2"", ""importance"": 0.005617844872176647, ""importance_pct"": 0.5617844773054286}, {""rank"": 18, ""feature"": ""V121"", ""importance"": 0.0053039612248539925, ""importance_pct"": 0.5303961131269856}, {""rank"": 19, ""feature"": ""V197"", ""importance"": 0.005176674108952284, ""importance_pct"": 0.5176674017614027}, {""rank"": 20, ""feature"": ""V161"", ""importance"": 0.004194237757474184, ""importance_pct"": 0.4194237683470227}]"
XGBoost - Reduced Baseline,XGBoost,Reduced Baseline,342,0.9652690757611677,0.4958641706573792,0.5605314960629921,0.5262185262185263,0.9119543897720648,0.5603854665837974,0.7701117723729782,0.509291431362419,111728,2316,1786,2278,0.9209202428076597,"{""n_estimators"": 500, ""learning_rate"": 0.05156911709595948, ""max_depth"": 10, ""min_child_weight"": 9.905500691040231, ""subsample"": 0.8708817658975764, ""colsample_bytree"": 0.7930734353629822, ""gamma"": 1.461192327509932}","[{""rank"": 1, ""feature"": ""V258"", ""importance"": 0.15937793254852295, ""importance_pct"": 15.937792961988482}, {""rank"": 2, ""feature"": ""V70"", ""importance"": 0.08223641663789749, ""importance_pct"": 8.223641512676792}, {""rank"": 3, ""feature"": ""V218"", ""importance"": 0.07320227473974228, ""importance_pct"": 7.320227339461896}, {""rank"": 4, ""feature"": ""V257"", ""importance"": 0.0696786493062973, ""importance_pct"": 6.967864802592212}, {""rank"": 5, ""feature"": ""V91"", ""importance"": 0.03344234079122543, ""importance_pct"": 3.344234017670802}, {""rank"": 6, ""feature"": ""V201"", ""importance"": 0.024803083389997482, ""importance_pct"": 2.4803082934230147}, {""rank"": 7, ""feature"": ""V317"", ""importance"": 0.021759675815701485, ""importance_pct"": 2.1759675415858073}, {""rank"": 8, ""feature"": ""C4"", ""importance"": 0.01266699843108654, ""importance_pct"": 1.2666998198324988}, {""rank"": 9, ""feature"": ""V187"", ""importance"": 0.008132701739668846, ""importance_pct"": 0.813270159022695}, {""rank"": 10, ""feature"": ""V264"", ""importance"": 0.00764997536316514, ""importance_pct"": 0.7649975222593548}, {""rank"": 11, ""feature"": ""V295"", ""importance"": 0.007456216961145401, ""importance_pct"": 0.7456216824134203}, {""rank"": 12, ""feature"": ""C14"", ""importance"": 0.007354439236223698, ""importance_pct"": 0.735443910108271}, {""rank"": 13, ""feature"": ""V283"", ""importance"": 0.00679105706512928, ""importance_pct"": 0.6791056940340682}, {""rank"": 14, ""feature"": ""addr2"", ""importance"": 0.006198573391884565, ""importance_pct"": 0.619857327798311}, {""rank"": 15, ""feature"": ""V323"", ""importance"": 0.005573451053351164, ""importance_pct"": 0.55734509509366}, {""rank"": 16, ""feature"": ""V312"", ""importance"": 0.005120820365846157, ""importance_pct"": 0.5120820271748877}, {""rank"": 17, ""feature"": ""card6"", ""importance"": 0.005047801416367292, ""importance_pct"": 0.5047801323611768}, {""rank"": 18, ""feature"": ""V156"", ""importance"": 0.004798745736479759, ""importance_pct"": 0.47987456483007396}, {""rank"": 19, ""feature"": ""V318"", ""importance"": 0.004528189543634653, ""importance_pct"": 0.452818946042722}, {""rank"": 20, ""feature"": ""V197"", ""importance"": 0.00443127378821373, ""importance_pct"": 0.44312737067871655}]"
XGBoost - Reduced Feature Engineering,XGBoost,Reduced Feature Engineering,348,0.9704338402140413,0.5761043108036189,0.5327263779527559,0.5535668626949629,0.9163280772519903,0.5716665962147515,0.7593790425065944,0.5387427966384238,112451,1593,1899,2165,0.922653574449446,"{""n_estimators"": 600, ""learning_rate"": 0.05367916265026271, ""max_depth"": 10, ""min_child_weight"": 9.990883610300589, ""subsample"": 0.8391998921110788, ""colsample_bytree"": 0.8072636662657275, ""gamma"": 1.4684735955100456}","[{""rank"": 1, ""feature"": ""V258"", ""importance"": 0.19487451016902924, ""importance_pct"": 19.487452520442798}, {""rank"": 2, ""feature"": ""V70"", ""importance"": 0.06724575161933899, ""importance_pct"": 6.724575680763523}, {""rank"": 3, ""feature"": ""V257"", ""importance"": 0.06508320569992065, ""importance_pct"": 6.508321072136726}, {""rank"": 4, ""feature"": ""V218"", ""importance"": 0.059904009103775024, ""importance_pct"": 5.990401372562455}, {""rank"": 5, ""feature"": ""V91"", ""importance"": 0.04233936965465546, ""importance_pct"": 4.233937292131821}, {""rank"": 6, ""feature"": ""V317"", ""importance"": 0.020726336166262627, ""importance_pct"": 2.072633776538777}, {""rank"": 7, ""feature"": ""V201"", ""importance"": 0.01611432619392872, ""importance_pct"": 1.611432743721764}, {""rank"": 8, ""feature"": ""C4"", ""importance"": 0.011740997433662415, ""importance_pct"": 1.1740998339530389}, {""rank"": 9, ""feature"": ""V187"", ""importance"": 0.009366034530103207, ""importance_pct"": 0.9366035252732675}, {""rank"": 10, ""feature"": ""V264"", ""importance"": 0.008100118488073349, ""importance_pct"": 0.8100119113032002}, {""rank"": 11, ""feature"": ""C14"", ""importance"": 0.00774732232093811, ""importance_pct"": 0.7747322918677034}, {""rank"": 12, ""feature"": ""V323"", ""importance"": 0.0064695714972913265, ""importance_pct"": 0.6469571996446332}, {""rank"": 13, ""feature"": ""V283"", ""importance"": 0.006406489759683609, ""importance_pct"": 0.6406490253971588}, {""rank"": 14, ""feature"": ""addr2"", ""importance"": 0.005909408908337355, ""importance_pct"": 0.5909409364273429}, {""rank"": 15, ""feature"": ""V312"", ""importance"": 0.004802883602678776, ""importance_pct"": 0.48028839732417083}, {""rank"": 16, ""feature"": ""V156"", ""importance"": 0.004678480792790651, ""importance_pct"": 0.4678481153755377}, {""rank"": 17, ""feature"": ""V295"", ""importance"": 0.00461800629273057, ""importance_pct"": 0.461800664902943}, {""rank"": 18, ""feature"": ""card6"", ""importance"": 0.004422800149768591, ""importance_pct"": 0.44228004910064656}, {""rank"": 19, ""feature"": ""V122"", ""importance"": 0.004380004480481148, ""importance_pct"": 0.4380004818417154}, {""rank"": 20, ""feature"": ""ProductCD"", ""importance"": 0.0042137992568314075, ""importance_pct"": 0.4213799581943973}]"
CatBoost - Baseline,CatBoost,Baseline,432,0.9025298878992108,0.2227516378796903,0.7362204724409449,0.3420210333790581,0.9078351368286643,0.5155926023008146,0.8223384288478794,0.37013593404811723,103604,10440,1072,2992,0.9159545098987503,"{""iterations"": 800, ""learning_rate"": 0.053769175187915456, ""depth"": 6, ""l2_leaf_reg"": 3.5497480217818174}","[{""rank"": 1, ""feature"": ""card2"", ""importance"": 4.971624846573927, ""importance_pct"": 4.971624846573927}, {""rank"": 2, ""feature"": ""C1"", ""importance"": 4.610614476185074, ""importance_pct"": 4.610614476185073}, {""rank"": 3, ""feature"": ""C13"", ""importance"": 4.428542979638811, ""importance_pct"": 4.42854297963881}, {""rank"": 4, ""feature"": ""card1"", ""importance"": 4.0856331629845215, ""importance_pct"": 4.085633162984521}, {""rank"": 5, ""feature"": ""addr1"", ""importance"": 3.6447589584224738, ""importance_pct"": 3.6447589584224733}, {""rank"": 6, ""feature"": ""C14"", ""importance"": 3.328852034631594, ""importance_pct"": 3.3288520346315935}, {""rank"": 7, ""feature"": ""TransactionAmt"", ""importance"": 3.064856676522925, ""importance_pct"": 3.0648566765229246}, {""rank"": 8, ""feature"": ""D2"", ""importance"": 2.93721264101235, ""importance_pct"": 2.9372126410123496}, {""rank"": 9, ""feature"": ""TransactionDT"", ""importance"": 2.642591569703054, ""importance_pct"": 2.6425915697030535}, {""rank"": 10, ""feature"": ""C11"", ""importance"": 2.3588947925431194, ""importance_pct"": 2.358894792543119}, {""rank"": 11, ""feature"": ""C2"", ""importance"": 2.2935509667335285, ""importance_pct"": 2.293550966733528}, {""rank"": 12, ""feature"": ""P_emaildomain"", ""importance"": 1.941924404811279, ""importance_pct"": 1.9419244048112787}, {""rank"": 13, ""feature"": ""D15"", ""importance"": 1.9363517596148945, ""importance_pct"": 1.9363517596148943}, {""rank"": 14, ""feature"": ""card6"", ""importance"": 1.8318422420330558, ""importance_pct"": 1.8318422420330556}, {""rank"": 15, ""feature"": ""C6"", ""importance"": 1.6676630510273944, ""importance_pct"": 1.6676630510273942}, {""rank"": 16, ""feature"": ""D1"", ""importance"": 1.6252629205742462, ""importance_pct"": 1.625262920574246}, {""rank"": 17, ""feature"": ""card5"", ""importance"": 1.5892403570945557, ""importance_pct"": 1.5892403570945555}, {""rank"": 18, ""feature"": ""M6"", ""importance"": 1.5395343011073317, ""importance_pct"": 1.5395343011073315}, {""rank"": 19, ""feature"": ""R_emaildomain"", ""importance"": 1.4306068301857602, ""importance_pct"": 1.43060683018576}, {""rank"": 20, ""feature"": ""M4"", ""importance"": 1.4264075983116566, ""importance_pct"": 1.4264075983116564}]"
CatBoost - Feature Engineering,CatBoost,Feature Engineering,439,0.8987452162427608,0.21492019932115258,0.7322834645669292,0.3323097537825917,0.9086528231126155,0.5065348497345318,0.8184803033612942,0.3608999776255995,103173,10871,1088,2976,0.9190078147569946,"{""iterations"": 800, ""learning_rate"": 0.03283396276465817, ""depth"": 7, ""l2_leaf_reg"": 1.0960177507411952}","[{""rank"": 1, ""feature"": ""C1"", ""importance"": 5.12581545764103, ""importance_pct"": 5.125815457641034}, {""rank"": 2, ""feature"": ""card2"", ""importance"": 4.5782084106817855, ""importance_pct"": 4.578208410681789}, {""rank"": 3, ""feature"": ""C13"", ""importance"": 4.273402196883535, ""importance_pct"": 4.273402196883539}, {""rank"": 4, ""feature"": ""uid"", ""importance"": 3.4407549518171328, ""importance_pct"": 3.440754951817135}, {""rank"": 5, ""feature"": ""card1"", ""importance"": 3.123806407633884, ""importance_pct"": 3.1238064076338863}, {""rank"": 6, ""feature"": ""C14"", ""importance"": 3.121891944229283, ""importance_pct"": 3.121891944229285}, {""rank"": 7, ""feature"": ""addr1"", ""importance"": 2.985530915568959, ""importance_pct"": 2.9855309155689613}, {""rank"": 8, ""feature"": ""TransactionAmt"", ""importance"": 2.843835284950017, ""importance_pct"": 2.843835284950019}, {""rank"": 9, ""feature"": ""D2"", ""importance"": 2.452273661415428, ""importance_pct"": 2.45227366141543}, {""rank"": 10, ""feature"": ""C2"", ""importance"": 2.4415701509777668, ""importance_pct"": 2.4415701509777685}, {""rank"": 11, ""feature"": ""card6"", ""importance"": 2.017064364939089, ""importance_pct"": 2.0170643649390905}, {""rank"": 12, ""feature"": ""P_emaildomain"", ""importance"": 2.0062412730387424, ""importance_pct"": 2.0062412730387438}, {""rank"": 13, ""feature"": ""D15"", ""importance"": 1.966236757289914, ""importance_pct"": 1.9662367572899155}, {""rank"": 14, ""feature"": ""C11"", ""importance"": 1.8630258306411063, ""importance_pct"": 1.8630258306411078}, {""rank"": 15, ""feature"": ""C6"", ""importance"": 1.7484079868848248, ""importance_pct"": 1.7484079868848261}, {""rank"": 16, ""feature"": ""TransactionDT"", ""importance"": 1.7328313660776542, ""importance_pct"": 1.7328313660776553}, {""rank"": 17, ""feature"": ""uid2"", ""importance"": 1.6718465437859824, ""importance_pct"": 1.6718465437859837}, {""rank"": 18, ""feature"": ""D1"", ""importance"": 1.592010923826761, ""importance_pct"": 1.5920109238267623}, {""rank"": 19, ""feature"": ""M6"", ""importance"": 1.5867219547594833, ""importance_pct"": 1.5867219547594842}, {""rank"": 20, ""feature"": ""card5"", ""importance"": 1.5484295894460156, ""importance_pct"": 1.5484295894460167}]"
